event_id,ts,rider_id,region_id,arm,reward_binary,reward_revenue,region_id,hour,segment,rider_conv,context_score
4621,2025-12-01 07:05:00,3,18,0.0,1,2.561,18,7,3,0.749999999953125,1.0115
4770,2025-12-01 07:25:00,3,3,0.0,0,0.0,3,7,3,0.749999999953125,-0.1923
4935,2025-12-01 07:45:00,3,4,1.0,1,1.646,4,7,3,0.749999999953125,0.5863
6606,2025-12-01 11:40:00,3,8,0.5,0,0.0,8,11,3,0.749999999953125,0.0063
7151,2025-12-01 13:05:00,3,7,1.0,1,1.941,7,13,3,0.749999999953125,-0.0667
8095,2025-12-01 16:10:00,3,6,0.5,1,1.763,6,16,3,0.749999999953125,1.5777
8364,2025-12-01 17:05:00,3,10,0.5,0,0.0,10,17,3,0.749999999953125,-0.8641
8422,2025-12-01 17:20:00,3,3,0.5,1,1.242,3,17,3,0.749999999953125,0.6573
8821,2025-12-01 18:50:00,3,2,1.0,1,1.572,2,18,3,0.749999999953125,0.3627
9365,2025-12-01 21:10:00,3,8,1.0,1,0.389,8,21,3,0.749999999953125,0.4097
249,2025-12-01 00:15:00,4,18,0.0,1,2.561,18,0,0,0.8124999999492187,-0.1445
1922,2025-12-01 02:35:00,4,0,0.0,0,0.0,0,2,0,0.8124999999492187,0.0411
2549,2025-12-01 03:30:00,4,8,0.0,0,0.0,8,3,0,0.8124999999492187,-0.0205
2720,2025-12-01 03:45:00,4,3,0.0,1,1.742,3,3,0,0.8124999999492187,0.1643
3064,2025-12-01 04:15:00,4,7,0.0,1,2.941,7,4,0,0.8124999999492187,0.5139
4093,2025-12-01 06:05:00,4,7,1.0,1,1.941,7,6,0,0.8124999999492187,-0.0245
4222,2025-12-01 06:20:00,4,13,0.5,1,1.374,13,6,0,0.8124999999492187,0.4158
4240,2025-12-01 06:25:00,4,1,0.0,1,1.188,1,6,0,0.8124999999492187,0.2129
4389,2025-12-01 06:40:00,4,8,1.0,1,0.389,8,6,0,0.8124999999492187,-0.0133
4649,2025-12-01 07:10:00,4,11,0.5,1,1.439,11,7,0,0.8124999999492187,0.1781
5667,2025-12-01 09:20:00,4,5,1.0,1,1.109,5,9,0,0.8124999999492187,-0.188
6172,2025-12-01 10:40:00,4,3,0.0,0,0.0,3,10,0,0.8124999999492187,-0.7449
6820,2025-12-01 12:10:00,4,13,0.5,1,1.374,13,12,0,0.8124999999492187,-0.8954
7573,2025-12-01 14:20:00,4,14,1.0,1,0.625,14,14,0,0.8124999999492187,-0.2436
8482,2025-12-01 17:30:00,4,18,0.5,1,2.061,18,17,0,0.8124999999492187,-0.2575
9792,2025-12-01 23:05:00,4,15,0.5,1,1.275,15,23,0,0.8124999999492187,0.2301
124,2025-12-01 00:10:00,5,0,0.0,1,1.878,0,0,0,0.79999999996,-0.3892
267,2025-12-01 00:20:00,5,1,1.0,1,0.188,1,0,0,0.79999999996,-0.235
937,2025-12-01 01:10:00,5,13,0.0,1,1.874,13,1,0,0.79999999996,0.5308
1010,2025-12-01 01:15:00,5,15,0.0,1,1.775,15,1,0,0.79999999996,-0.2663
1472,2025-12-01 01:55:00,5,7,0.0,1,2.941,7,1,0,0.79999999996,0.017
2230,2025-12-01 03:00:00,5,11,0.5,1,1.439,11,3,0,0.79999999996,-0.6254
3713,2025-12-01 05:20:00,5,19,0.5,1,0.78,19,5,0,0.79999999996,0.0199
3936,2025-12-01 05:45:00,5,13,0.0,0,0.0,13,5,0,0.79999999996,-0.4441
5046,2025-12-01 08:00:00,5,0,1.0,1,0.878,0,8,0,0.79999999996,-0.1724
5863,2025-12-01 09:50:00,5,3,0.5,1,1.242,3,9,0,0.79999999996,0.6304
6063,2025-12-01 10:20:00,5,16,0.5,1,0.78,16,10,0,0.79999999996,0.8045
6113,2025-12-01 10:30:00,5,6,0.0,1,2.263,6,10,0,0.79999999996,0.744
6368,2025-12-01 11:05:00,5,13,0.5,1,1.374,13,11,0,0.79999999996,-0.0771
6487,2025-12-01 11:20:00,5,15,0.0,1,1.775,15,11,0,0.79999999996,0.4276
7614,2025-12-01 14:30:00,5,2,0.5,0,0.0,2,14,0,0.79999999996,-0.072
7741,2025-12-01 14:55:00,5,3,1.0,1,0.742,3,14,0,0.79999999996,0.4061
8277,2025-12-01 16:45:00,5,0,0.5,1,1.378,0,16,0,0.79999999996,0.4816
8847,2025-12-01 18:55:00,5,10,0.0,0,0.0,10,18,0,0.79999999996,-0.899
9236,2025-12-01 20:40:00,5,0,0.0,0,0.0,0,20,0,0.79999999996,-0.47
9325,2025-12-01 21:00:00,5,8,0.5,1,0.889,8,21,0,0.79999999996,-0.6476
2136,2025-12-01 02:50:00,6,14,0.0,1,1.625,14,2,0,0.8181818181074381,0.696
2546,2025-12-01 03:30:00,6,7,0.5,1,2.441,7,3,0,0.8181818181074381,-0.7936
3359,2025-12-01 04:45:00,6,4,0.5,1,2.146,4,4,0,0.8181818181074381,-0.1583
4766,2025-12-01 07:25:00,6,1,0.0,1,1.188,1,7,0,0.8181818181074381,-0.0448
4982,2025-12-01 07:50:00,6,11,0.0,1,1.939,11,7,0,0.8181818181074381,-0.4025
5251,2025-12-01 08:25:00,6,6,0.0,1,2.263,6,8,0,0.8181818181074381,-0.1937
5344,2025-12-01 08:35:00,6,7,0.5,0,0.0,7,8,0,0.8181818181074381,-0.4938
6359,2025-12-01 11:05:00,6,10,1.0,1,1.935,10,11,0,0.8181818181074381,-0.1958
7387,2025-12-01 13:45:00,6,7,0.0,1,2.941,7,13,0,0.8181818181074381,0.0018
8411,2025-12-01 17:15:00,6,16,0.0,1,1.28,16,17,0,0.8181818181074381,0.773
8987,2025-12-01 19:30:00,6,6,1.0,0,0.0,6,19,0,0.8181818181074381,-0.39
711,2025-12-01 00:50:00,7,11,0.0,1,1.939,11,0,2,0.699999999965,0.2933
816,2025-12-01 01:00:00,7,8,1.0,1,0.389,8,1,2,0.699999999965,0.0561
1432,2025-12-01 01:50:00,7,18,0.0,1,2.561,18,1,2,0.699999999965,-0.2803
1985,2025-12-01 02:40:00,7,2,0.0,1,2.572,2,2,2,0.699999999965,-0.3795
2030,2025-12-01 02:45:00,7,1,1.0,1,0.188,1,2,2,0.699999999965,-1.0682
2501,2025-12-01 03:25:00,7,12,1.0,1,0.951,12,3,2,0.699999999965,0.0123
3055,2025-12-01 04:15:00,7,4,0.5,0,0.0,4,4,2,0.699999999965,-0.2918
3150,2025-12-01 04:25:00,7,6,1.0,1,1.263,6,4,2,0.699999999965,0.1699
3177,2025-12-01 04:25:00,7,19,0.5,0,0.0,19,4,2,0.699999999965,-1.0451
4039,2025-12-01 06:00:00,7,2,0.0,0,0.0,2,6,2,0.699999999965,0.2109
4121,2025-12-01 06:10:00,7,1,1.0,1,0.188,1,6,2,0.699999999965,-0.0767
4198,2025-12-01 06:15:00,7,16,0.5,0,0.0,16,6,2,0.699999999965,-0.1817
4507,2025-12-01 06:55:00,7,6,0.0,1,2.263,6,6,2,0.699999999965,0.7386
4590,2025-12-01 07:05:00,7,2,0.5,0,0.0,2,7,2,0.699999999965,0.5083
4781,2025-12-01 07:25:00,7,7,0.0,1,2.941,7,7,2,0.699999999965,0.3018
4859,2025-12-01 07:35:00,7,5,0.0,0,0.0,5,7,2,0.699999999965,-0.0817
6904,2025-12-01 12:25:00,7,10,1.0,1,1.935,10,12,2,0.699999999965,-0.1814
7645,2025-12-01 14:30:00,7,18,1.0,1,1.561,18,14,2,0.699999999965,-0.2845
7833,2025-12-01 15:10:00,7,12,1.0,1,0.951,12,15,2,0.699999999965,-0.3491
9079,2025-12-01 19:55:00,7,10,0.5,1,2.435,10,19,2,0.699999999965,0.6779
45,2025-12-01 00:00:00,8,14,0.0,1,1.625,14,0,3,0.8421052631135734,-0.0832
226,2025-12-01 00:15:00,8,10,0.0,0,0.0,10,0,3,0.8421052631135734,0.4551
1087,2025-12-01 01:20:00,8,18,0.0,0,0.0,18,1,3,0.8421052631135734,0.3034
1776,2025-12-01 02:20:00,8,11,1.0,1,0.939,11,2,3,0.8421052631135734,-0.3934
1880,2025-12-01 02:30:00,8,4,0.5,1,2.146,4,2,3,0.8421052631135734,-0.5051
2277,2025-12-01 03:05:00,8,10,1.0,1,1.935,10,3,3,0.8421052631135734,0.8023
2603,2025-12-01 03:35:00,8,3,0.5,1,1.242,3,3,3,0.8421052631135734,-0.1948
4455,2025-12-01 06:50:00,8,0,1.0,1,0.878,0,6,3,0.8421052631135734,0.5635
5014,2025-12-01 07:55:00,8,4,1.0,1,1.646,4,7,3,0.8421052631135734,-0.1658
5129,2025-12-01 08:10:00,8,1,0.0,1,1.188,1,8,3,0.8421052631135734,-0.017
6176,2025-12-01 10:40:00,8,6,0.0,1,2.263,6,10,3,0.8421052631135734,-0.1232
6191,2025-12-01 10:40:00,8,14,1.0,1,0.625,14,10,3,0.8421052631135734,-0.0366
6260,2025-12-01 10:50:00,8,16,0.5,0,0.0,16,10,3,0.8421052631135734,-0.3068
6325,2025-12-01 11:00:00,8,11,0.0,1,1.939,11,11,3,0.8421052631135734,0.4358
6786,2025-12-01 12:05:00,8,13,1.0,1,0.874,13,12,3,0.8421052631135734,0.4423
6957,2025-12-01 12:35:00,8,0,0.5,1,1.378,0,12,3,0.8421052631135734,0.7835
7681,2025-12-01 14:40:00,8,2,0.0,1,2.572,2,14,3,0.8421052631135734,0.0517
8028,2025-12-01 15:55:00,8,0,0.5,1,1.378,0,15,3,0.8421052631135734,0.3602
8121,2025-12-01 16:15:00,8,1,1.0,1,0.188,1,16,3,0.8421052631135734,0.4437
486,2025-12-01 00:35:00,9,3,0.0,1,1.742,3,0,7,0.8749999999453125,0.3306
730,2025-12-01 00:50:00,9,18,0.0,1,2.561,18,0,7,0.8749999999453125,-0.0573
1084,2025-12-01 01:20:00,9,18,0.5,1,2.061,18,1,7,0.8749999999453125,0.7447
2281,2025-12-01 03:05:00,9,11,1.0,1,0.939,11,3,7,0.8749999999453125,-0.3204
3292,2025-12-01 04:40:00,9,1,0.0,0,0.0,1,4,7,0.8749999999453125,0.0818
3458,2025-12-01 04:55:00,9,1,1.0,1,0.188,1,4,7,0.8749999999453125,-0.1704
3991,2025-12-01 05:50:00,9,19,1.0,1,0.28,19,5,7,0.8749999999453125,0.0706
4107,2025-12-01 06:05:00,9,14,0.5,0,0.0,14,6,7,0.8749999999453125,-0.1662
5105,2025-12-01 08:05:00,9,8,1.0,1,0.389,8,8,7,0.8749999999453125,0.5334
5911,2025-12-01 09:55:00,9,19,1.0,1,0.28,19,9,7,0.8749999999453125,0.1629
6053,2025-12-01 10:20:00,9,9,1.0,1,0.309,9,10,7,0.8749999999453125,0.2999
7336,2025-12-01 13:35:00,9,19,0.5,1,0.78,19,13,7,0.8749999999453125,-0.5865
7386,2025-12-01 13:45:00,9,6,0.5,1,1.763,6,13,7,0.8749999999453125,-1.1104
7844,2025-12-01 15:10:00,9,19,0.5,1,0.78,19,15,7,0.8749999999453125,0.2898
7861,2025-12-01 15:20:00,9,0,0.0,1,1.878,0,15,7,0.8749999999453125,0.3278
9881,2025-12-01 23:40:00,9,8,1.0,1,0.389,8,23,7,0.8749999999453125,-0.0632
29,2025-12-01 00:00:00,10,8,0.0,1,1.389,8,0,3,0.928571428505102,-0.7933
735,2025-12-01 00:50:00,10,19,0.0,1,1.28,19,0,3,0.928571428505102,-0.5049
1036,2025-12-01 01:20:00,10,2,1.0,1,1.572,2,1,3,0.928571428505102,0.5818
3241,2025-12-01 04:35:00,10,1,0.0,1,1.188,1,4,3,0.928571428505102,-0.0548
3932,2025-12-01 05:45:00,10,10,0.0,0,0.0,10,5,3,0.928571428505102,0.9507
4079,2025-12-01 06:05:00,10,0,1.0,1,0.878,0,6,3,0.928571428505102,-0.3234
4204,2025-12-01 06:20:00,10,0,0.0,1,1.878,0,6,3,0.928571428505102,-0.0632
4256,2025-12-01 06:25:00,10,6,0.0,1,2.263,6,6,3,0.928571428505102,-0.01
4919,2025-12-01 07:40:00,10,19,1.0,1,0.28,19,7,3,0.928571428505102,0.2562
6589,2025-12-01 11:35:00,10,19,0.5,1,0.78,19,11,3,0.928571428505102,0.411
7472,2025-12-01 14:00:00,10,7,0.5,1,2.441,7,14,3,0.928571428505102,0.6135
7557,2025-12-01 14:15:00,10,18,1.0,1,1.561,18,14,3,0.928571428505102,-0.3769
7957,2025-12-01 15:35:00,10,16,0.5,1,0.78,16,15,3,0.928571428505102,0.2834
9727,2025-12-01 22:50:00,10,0,0.5,1,1.378,0,22,3,0.928571428505102,0.4778
272,2025-12-01 00:20:00,11,2,0.0,1,2.572,2,0,5,0.7857142856862245,-0.21
363,2025-12-01 00:25:00,11,8,0.5,1,0.889,8,0,5,0.7857142856862245,0.3821
887,2025-12-01 01:05:00,11,16,0.5,0,0.0,16,1,5,0.7857142856862245,0.5008
1035,2025-12-01 01:20:00,11,2,0.0,1,2.572,2,1,5,0.7857142856862245,0.8436
1324,2025-12-01 01:45:00,11,4,0.0,1,2.646,4,1,5,0.7857142856862245,-0.5156
1596,2025-12-01 02:05:00,11,14,0.0,0,0.0,14,2,5,0.7857142856862245,-0.7799
1635,2025-12-01 02:10:00,11,5,1.0,1,1.109,5,2,5,0.7857142856862245,0.1852
2221,2025-12-01 03:00:00,11,4,0.5,1,2.146,4,3,5,0.7857142856862245,0.4189
2476,2025-12-01 03:25:00,11,2,0.5,1,2.072,2,3,5,0.7857142856862245,0.3503
2780,2025-12-01 03:50:00,11,1,1.0,1,0.188,1,3,5,0.7857142856862245,0.3931
2782,2025-12-01 03:50:00,11,2,1.0,1,1.572,2,3,5,0.7857142856862245,0.0734
4360,2025-12-01 06:40:00,11,0,1.0,1,0.878,0,6,5,0.7857142856862245,-0.8678
4687,2025-12-01 07:15:00,11,4,1.0,1,1.646,4,7,5,0.7857142856862245,0.5771
5157,2025-12-01 08:10:00,11,19,0.5,1,0.78,19,8,5,0.7857142856862245,-0.2235
5462,2025-12-01 08:50:00,11,4,0.0,0,0.0,4,8,5,0.7857142856862245,0.5697
6575,2025-12-01 11:35:00,11,8,1.0,1,0.389,8,11,5,0.7857142856862245,0.7193
6613,2025-12-01 11:40:00,11,15,0.5,1,1.275,15,11,5,0.7857142856862245,-0.8232
7228,2025-12-01 13:20:00,11,3,0.0,1,1.742,3,13,5,0.7857142856862245,0.7527
7989,2025-12-01 15:45:00,11,0,0.0,0,0.0,0,15,5,0.7857142856862245,0.8181
8117,2025-12-01 16:15:00,11,0,0.0,0,0.0,0,16,5,0.7857142856862245,0.8425
8154,2025-12-01 16:20:00,11,10,1.0,1,1.935,10,16,5,0.7857142856862245,0.2018
8188,2025-12-01 16:25:00,11,16,0.0,0,0.0,16,16,5,0.7857142856862245,-0.0546
8313,2025-12-01 16:55:00,11,0,1.0,1,0.878,0,16,5,0.7857142856862245,0.3064
8757,2025-12-01 18:30:00,11,15,1.0,1,0.775,15,18,5,0.7857142856862245,0.4946
8804,2025-12-01 18:45:00,11,0,0.0,1,1.878,0,18,5,0.7857142856862245,0.3435
9239,2025-12-01 20:40:00,11,1,0.5,1,0.688,1,20,5,0.7857142856862245,-0.015
9258,2025-12-01 20:40:00,11,15,0.0,1,1.775,15,20,5,0.7857142856862245,0.1607
9561,2025-12-01 22:00:00,11,0,1.0,1,0.878,0,22,5,0.7857142856862245,0.551
222,2025-12-01 00:15:00,12,8,0.0,0,0.0,8,0,2,0.63157894733518,-0.1641
1464,2025-12-01 01:55:00,12,4,0.5,1,2.146,4,1,2,0.63157894733518,0.2289
3158,2025-12-01 04:25:00,12,9,0.0,1,1.309,9,4,2,0.63157894733518,0.4119
3342,2025-12-01 04:40:00,12,19,0.5,1,0.78,19,4,2,0.63157894733518,0.553
3790,2025-12-01 05:30:00,12,13,0.5,0,0.0,13,5,2,0.63157894733518,-0.7641
4215,2025-12-01 06:20:00,12,8,1.0,1,0.389,8,6,2,0.63157894733518,-0.4337
5596,2025-12-01 09:05:00,12,13,0.0,0,0.0,13,9,2,0.63157894733518,-0.123
6006,2025-12-01 10:10:00,12,19,0.5,1,0.78,19,10,2,0.63157894733518,-0.3188
6356,2025-12-01 11:05:00,12,7,0.0,1,2.941,7,11,2,0.63157894733518,-0.2678
6544,2025-12-01 11:30:00,12,13,0.5,0,0.0,13,11,2,0.63157894733518,-0.3675
7066,2025-12-01 12:50:00,12,15,0.0,0,0.0,15,12,2,0.63157894733518,-0.3219
7141,2025-12-01 13:05:00,12,2,0.5,1,2.072,2,13,2,0.63157894733518,-0.0876
7356,2025-12-01 13:40:00,12,10,0.0,1,2.935,10,13,2,0.63157894733518,-0.1055
7870,2025-12-01 15:20:00,12,6,0.0,1,2.263,6,15,2,0.63157894733518,-0.1487
8067,2025-12-01 16:05:00,12,0,0.5,1,1.378,0,16,2,0.63157894733518,-0.413
8102,2025-12-01 16:10:00,12,8,0.0,1,1.389,8,16,2,0.63157894733518,0.3684
8563,2025-12-01 17:50:00,12,1,0.5,0,0.0,1,17,2,0.63157894733518,-0.0311
8590,2025-12-01 17:55:00,12,8,1.0,1,0.389,8,17,2,0.63157894733518,-0.5104
9469,2025-12-01 21:35:00,12,19,0.0,0,0.0,19,21,2,0.63157894733518,0.2838
281,2025-12-01 00:20:00,13,4,0.5,1,2.146,4,0,4,0.7894736841689751,-0.1515
635,2025-12-01 00:45:00,13,7,0.0,0,0.0,7,0,4,0.7894736841689751,-0.4642
1018,2025-12-01 01:15:00,13,18,0.5,1,2.061,18,1,4,0.7894736841689751,0.006
1630,2025-12-01 02:10:00,13,4,0.0,1,2.646,4,2,4,0.7894736841689751,0.4274
2435,2025-12-01 03:20:00,13,6,0.5,1,1.763,6,3,4,0.7894736841689751,0.5358
2686,2025-12-01 03:40:00,13,13,1.0,1,0.874,13,3,4,0.7894736841689751,0.0061
3422,2025-12-01 04:50:00,13,8,0.5,1,0.889,8,4,4,0.7894736841689751,0.0556
5269,2025-12-01 08:25:00,13,14,1.0,1,0.625,14,8,4,0.7894736841689751,-0.5374
5744,2025-12-01 09:30:00,13,6,1.0,1,1.263,6,9,4,0.7894736841689751,0.2384
5841,2025-12-01 09:45:00,13,7,1.0,1,1.941,7,9,4,0.7894736841689751,0.1383
5905,2025-12-01 09:55:00,13,12,1.0,1,0.951,12,9,4,0.7894736841689751,0.8374
5930,2025-12-01 10:00:00,13,13,0.0,1,1.874,13,10,4,0.7894736841689751,0.8349
6495,2025-12-01 11:25:00,13,0,1.0,1,0.878,0,11,4,0.7894736841689751,0.0328
6890,2025-12-01 12:25:00,13,1,1.0,1,0.188,1,12,4,0.7894736841689751,-0.4301
7156,2025-12-01 13:05:00,13,10,0.0,0,0.0,10,13,4,0.7894736841689751,-0.9761
8245,2025-12-01 16:35:00,13,17,0.0,0,0.0,17,16,4,0.7894736841689751,-0.6492
8278,2025-12-01 16:45:00,13,0,0.0,1,1.878,0,16,4,0.7894736841689751,-0.7596
9035,2025-12-01 19:45:00,13,13,1.0,1,0.874,13,19,4,0.7894736841689751,-0.2842
9046,2025-12-01 19:50:00,13,3,0.0,0,0.0,3,19,4,0.7894736841689751,-0.2267
783,2025-12-01 00:55:00,14,18,0.0,1,2.561,18,0,5,0.8399999999664,-0.4951
805,2025-12-01 01:00:00,14,4,1.0,1,1.646,4,1,5,0.8399999999664,0.1821
1008,2025-12-01 01:15:00,14,14,1.0,1,0.625,14,1,5,0.8399999999664,-0.1765
1219,2025-12-01 01:35:00,14,10,0.0,1,2.935,10,1,5,0.8399999999664,0.0327
1369,2025-12-01 01:45:00,14,19,0.5,1,0.78,19,1,5,0.8399999999664,-0.5278
1378,2025-12-01 01:50:00,14,1,1.0,1,0.188,1,1,5,0.8399999999664,0.4225
1811,2025-12-01 02:25:00,14,0,0.5,0,0.0,0,2,5,0.8399999999664,-0.0534
2040,2025-12-01 02:45:00,14,4,1.0,1,1.646,4,2,5,0.8399999999664,-0.2671
2366,2025-12-01 03:15:00,14,0,0.5,1,1.378,0,3,5,0.8399999999664,-0.2867
3560,2025-12-01 05:05:00,14,2,0.5,1,2.072,2,5,5,0.8399999999664,0.5754
3717,2025-12-01 05:25:00,14,0,0.5,1,1.378,0,5,5,0.8399999999664,-0.2793
3795,2025-12-01 05:30:00,14,15,1.0,1,0.775,15,5,5,0.8399999999664,-0.2792
4740,2025-12-01 07:20:00,14,10,1.0,1,1.935,10,7,5,0.8399999999664,-0.0705
4761,2025-12-01 07:20:00,14,19,1.0,1,0.28,19,7,5,0.8399999999664,0.1482
