event_id,ts,region_id,rider_id,driver_id,base_price,surge_multiplier,proposed_price,subsidy,final_price,context_score,conversion_prob,is_trip,revenue
68,2025-12-01 00:05:00,1,254,1000,1.188,1.0,1.188,0.0,1.188,0.188,0.665517,1,1.188
69,2025-12-01 00:05:00,1,458,1001,1.188,1.0,1.188,1.0,0.188,0.0352,0.987292,1,0.188
70,2025-12-01 00:05:00,2,484,2000,2.572,1.0,2.572,1.0,1.572,0.1028,0.945873,1,1.572
71,2025-12-01 00:05:00,2,63,2001,2.572,1.0,2.572,0.5,2.072,0.5529,0.898609,1,2.072
72,2025-12-01 00:05:00,2,452,2002,2.572,1.0,2.572,1.0,1.572,0.1982,0.950557,1,1.572
73,2025-12-01 00:05:00,2,381,2003,2.572,1.0,2.572,0.5,2.072,0.6335,0.905726,1,2.072
74,2025-12-01 00:05:00,2,101,2004,2.572,1.0,2.572,1.0,1.572,-0.0999,0.93451,1,1.572
75,2025-12-01 00:05:00,2,84,2005,2.572,1.0,2.572,0.5,2.072,-0.1652,0.812118,1,2.072
76,2025-12-01 00:05:00,2,88,2006,2.572,1.0,2.572,0.5,2.072,-0.251,0.798675,1,2.072
77,2025-12-01 00:05:00,2,222,-1,2.572,1.0,2.572,1.0,1.572,0.3254,0.956202,0,0.0
78,2025-12-01 00:05:00,3,328,3000,1.742,1.0,1.742,0.0,1.742,0.0154,0.626065,1,1.742
79,2025-12-01 00:05:00,3,273,3001,1.742,1.0,1.742,0.5,1.242,-0.2009,0.835145,1,1.242
80,2025-12-01 00:05:00,4,346,4000,2.646,1.0,2.646,0.5,2.146,-0.0264,0.81486,1,2.146
81,2025-12-01 00:05:00,4,101,4001,2.646,1.0,2.646,1.0,1.646,-0.5377,0.878564,1,1.646
82,2025-12-01 00:05:00,4,439,4002,2.646,1.0,2.646,1.0,1.646,0.5793,0.956722,1,1.646
83,2025-12-01 00:05:00,5,159,-1,2.109,1.0,2.109,0.0,2.109,-0.1737,0.580849,0,0.0
84,2025-12-01 00:05:00,5,241,5000,2.109,1.0,2.109,1.0,1.109,0.1293,0.968588,1,1.109
85,2025-12-01 00:05:00,6,266,6000,2.263,1.0,2.263,1.0,1.263,0.3178,0.951029,1,1.263
86,2025-12-01 00:05:00,6,90,6001,2.263,1.0,2.263,1.0,1.263,-0.0465,0.930993,1,1.263
87,2025-12-01 00:05:00,6,280,6002,2.263,1.0,2.263,0.0,2.263,-0.0524,0.610073,1,2.263
88,2025-12-01 00:05:00,7,150,7000,2.941,1.0,2.941,0.5,2.441,0.4478,0.85069,1,2.441
89,2025-12-01 00:05:00,7,440,-1,2.941,1.0,2.941,0.5,2.441,0.1612,0.810528,0,0.0
90,2025-12-01 00:05:00,7,77,7001,2.941,1.0,2.941,1.0,1.941,-0.3551,0.849325,1,1.941
91,2025-12-01 00:05:00,7,251,-1,2.941,1.0,2.941,0.5,2.441,-0.0714,0.772196,0,0.0
92,2025-12-01 00:05:00,8,214,8000,1.389,1.0,1.389,1.0,0.389,0.7222,0.993549,1,0.389
93,2025-12-01 00:05:00,8,310,8001,1.389,1.0,1.389,1.0,0.389,-0.2501,0.983123,1,0.389
94,2025-12-01 00:05:00,8,106,8002,1.389,1.0,1.389,1.0,0.389,-0.2558,0.983028,1,0.389
95,2025-12-01 00:05:00,10,95,10000,2.935,1.0,2.935,0.0,2.935,0.6173,0.75348,1,2.935
96,2025-12-01 00:05:00,10,387,-1,2.935,1.0,2.935,0.5,2.435,-0.3896,0.740633,0,0.0
97,2025-12-01 00:05:00,10,93,10001,2.935,1.0,2.935,0.5,2.435,0.0874,0.821462,1,2.435
98,2025-12-01 00:05:00,10,178,10002,2.935,1.0,2.935,0.5,2.435,0.1432,0.829493,1,2.435
99,2025-12-01 00:05:00,10,35,10003,2.935,1.0,2.935,1.0,1.935,0.5224,0.947852,1,1.935
100,2025-12-01 00:05:00,11,46,11000,1.939,1.0,1.939,1.0,0.939,0.1843,0.974217,1,0.939
101,2025-12-01 00:05:00,11,103,11001,1.939,1.0,1.939,0.0,1.939,0.2373,0.676402,1,1.939
102,2025-12-01 00:05:00,11,390,11002,1.939,1.0,1.939,1.0,0.939,0.0753,0.971333,1,0.939
103,2025-12-01 00:05:00,11,482,11003,1.939,1.0,1.939,0.5,1.439,-0.1968,0.855327,1,1.439
104,2025-12-01 00:05:00,13,89,13000,1.874,1.0,1.874,1.0,0.874,-0.3068,0.938659,1,0.874
105,2025-12-01 00:05:00,14,325,14000,1.625,1.0,1.625,1.0,0.625,0.0485,0.969912,1,0.625
106,2025-12-01 00:05:00,14,48,14001,1.625,1.0,1.625,1.0,0.625,-0.1121,0.964852,1,0.625
107,2025-12-01 00:05:00,14,421,-1,1.625,1.0,1.625,0.0,1.625,-0.1954,0.575573,0,0.0
108,2025-12-01 00:05:00,14,240,-1,1.625,1.0,1.625,0.5,1.125,-0.6358,0.790254,0,0.0
109,2025-12-01 00:05:00,14,405,-1,1.625,1.0,1.625,0.5,1.125,-0.6138,0.793878,0,0.0
110,2025-12-01 00:05:00,15,345,15000,1.775,1.0,1.775,1.0,0.775,-0.0982,0.971763,1,0.775
111,2025-12-01 00:05:00,15,176,15001,1.775,1.0,1.775,0.5,1.275,-0.3943,0.842114,1,1.275
112,2025-12-01 00:05:00,15,389,15002,1.775,1.0,1.775,1.0,0.775,-1.1136,0.925746,1,0.775
113,2025-12-01 00:05:00,15,106,15003,1.775,1.0,1.775,1.0,0.775,0.8119,0.988441,1,0.775
114,2025-12-01 00:05:00,16,16,16000,1.28,1.0,1.28,1.0,0.28,1.099,0.997657,1,0.28
115,2025-12-01 00:05:00,16,405,16001,1.28,1.0,1.28,0.5,0.78,-0.108,0.932102,1,0.78
116,2025-12-01 00:05:00,16,218,16002,1.28,1.0,1.28,1.0,0.28,0.72,0.996581,1,0.28
117,2025-12-01 00:05:00,16,128,16003,1.28,1.0,1.28,0.0,1.28,-0.138,0.58952,1,1.28
118,2025-12-01 00:05:00,16,459,16004,1.28,1.0,1.28,0.5,0.78,-0.9758,0.852158,1,0.78
119,2025-12-01 00:05:00,17,109,-1,2.574,1.0,2.574,0.5,2.074,-0.2309,0.775724,0,0.0
120,2025-12-01 00:05:00,18,23,18000,2.561,1.0,2.561,1.0,1.561,0.0033,0.929362,1,1.561
121,2025-12-01 00:05:00,19,102,-1,1.28,1.0,1.28,0.0,1.28,-0.1059,0.597276,0,0.0
122,2025-12-01 00:05:00,19,101,19000,1.28,1.0,1.28,1.0,0.28,-0.3083,0.991392,1,0.28
123,2025-12-01 00:05:00,19,119,19001,1.28,1.0,1.28,0.5,0.78,0.1,0.946717,1,0.78
124,2025-12-01 00:10:00,0,5,0,1.878,1.0,1.878,0.0,1.878,-0.3892,0.527662,1,1.878
125,2025-12-01 00:10:00,0,271,1,1.878,1.0,1.878,0.0,1.878,0.4464,0.720397,1,1.878
126,2025-12-01 00:10:00,0,276,2,1.878,1.0,1.878,0.5,1.378,-0.2395,0.819834,1,1.378
127,2025-12-01 00:10:00,0,378,3,1.878,1.0,1.878,1.0,0.878,0.2693,0.963693,1,0.878
128,2025-12-01 00:10:00,0,195,4,1.878,1.0,1.878,0.5,1.378,-0.3952,0.795682,1,1.378
129,2025-12-01 00:10:00,1,252,1000,1.188,1.0,1.188,0.5,0.688,-0.7908,0.834519,1,0.688
130,2025-12-01 00:10:00,1,169,-1,1.188,1.0,1.188,0.5,0.688,-0.3863,0.883132,0,0.0
131,2025-12-01 00:10:00,1,97,1001,1.188,1.0,1.188,1.0,0.188,-0.0771,0.985803,1,0.188
132,2025-12-01 00:10:00,2,231,-1,2.572,1.0,2.572,0.0,2.572,-0.2489,0.562435,0,0.0
133,2025-12-01 00:10:00,2,234,2000,2.572,1.0,2.572,0.0,2.572,-0.1114,0.595945,1,2.572
134,2025-12-01 00:10:00,2,375,2001,2.572,1.0,2.572,0.5,2.072,0.0671,0.84502,1,2.072
135,2025-12-01 00:10:00,2,235,2002,2.572,1.0,2.572,1.0,1.572,-0.0547,0.937219,1,1.572
136,2025-12-01 00:10:00,2,435,2003,2.572,1.0,2.572,1.0,1.572,-0.594,0.896966,1,1.572
137,2025-12-01 00:10:00,3,373,-1,1.742,1.0,1.742,0.0,1.742,0.0042,0.623443,0,0.0
138,2025-12-01 00:10:00,3,102,3000,1.742,1.0,1.742,0.0,1.742,0.563,0.743271,1,1.742
139,2025-12-01 00:10:00,3,156,3001,1.742,1.0,1.742,1.0,0.742,0.38,0.971443,1,0.742
140,2025-12-01 00:10:00,3,63,-1,1.742,1.0,1.742,0.0,1.742,0.9893,0.815977,0,0.0
141,2025-12-01 00:10:00,4,278,-1,2.646,1.0,2.646,0.0,2.646,-0.5061,0.498487,0,0.0
142,2025-12-01 00:10:00,4,368,4000,2.646,1.0,2.646,1.0,1.646,-0.8731,0.838,1,1.646
143,2025-12-01 00:10:00,4,219,4001,2.646,1.0,2.646,1.0,1.646,-0.3597,0.896313,1,1.646
144,2025-12-01 00:10:00,4,393,4002,2.646,1.0,2.646,0.5,2.146,-0.6055,0.711522,1,2.146
145,2025-12-01 00:10:00,4,258,4003,2.646,1.0,2.646,1.0,1.646,0.1163,0.932944,1,1.646
146,2025-12-01 00:10:00,4,447,4004,2.646,1.0,2.646,1.0,1.646,0.1156,0.932902,1,1.646
147,2025-12-01 00:10:00,4,213,4005,2.646,1.0,2.646,0.5,2.146,0.1314,0.837489,1,2.146
148,2025-12-01 00:10:00,4,332,-1,2.646,1.0,2.646,0.0,2.646,-0.4713,0.507173,0,0.0
149,2025-12-01 00:10:00,5,365,5000,2.109,1.0,2.109,0.0,2.109,-0.3735,0.531577,1,2.109
150,2025-12-01 00:10:00,6,350,6000,2.263,1.0,2.263,1.0,1.263,0.4184,0.955509,1,1.263
151,2025-12-01 00:10:00,6,153,6001,2.263,1.0,2.263,1.0,1.263,-0.5366,0.892063,1,1.263
152,2025-12-01 00:10:00,6,116,6002,2.263,1.0,2.263,1.0,1.263,-0.3138,0.911712,1,1.263
153,2025-12-01 00:10:00,6,17,6003,2.263,1.0,2.263,0.5,1.763,-0.2566,0.788793,1,1.763
154,2025-12-01 00:10:00,6,372,6004,2.263,1.0,2.263,0.0,2.263,0.1762,0.662898,1,2.263
155,2025-12-01 00:10:00,6,150,6005,2.263,1.0,2.263,1.0,1.263,-0.0512,0.930692,1,1.263
156,2025-12-01 00:10:00,7,256,7000,2.941,1.0,2.941,0.5,2.441,-0.7376,0.63521,1,2.441
157,2025-12-01 00:10:00,7,191,7001,2.941,1.0,2.941,1.0,1.941,-0.0014,0.889234,1,1.941
158,2025-12-01 00:10:00,7,172,7002,2.941,1.0,2.941,1.0,1.941,-0.0198,0.887413,1,1.941
159,2025-12-01 00:10:00,7,328,7003,2.941,1.0,2.941,0.0,2.941,-0.4966,0.50086,1,2.941
160,2025-12-01 00:10:00,8,260,8000,1.389,1.0,1.389,1.0,0.389,-0.5553,0.977237,1,0.389
161,2025-12-01 00:10:00,8,486,8001,1.389,1.0,1.389,1.0,0.389,-0.3389,0.981585,1,0.389
162,2025-12-01 00:10:00,9,324,-1,1.309,1.0,1.309,0.0,1.309,-0.716,0.446221,0,0.0
163,2025-12-01 00:10:00,9,472,9000,1.309,1.0,1.309,1.0,0.309,-0.7231,0.972855,1,0.309
164,2025-12-01 00:10:00,9,85,9001,1.309,1.0,1.309,1.0,0.309,0.899,0.99452,1,0.309
165,2025-12-01 00:10:00,10,39,10000,2.935,1.0,2.935,0.5,2.435,0.4164,0.864744,1,2.435
166,2025-12-01 00:10:00,10,464,10001,2.935,1.0,2.935,0.5,2.435,-0.4668,0.725528,1,2.435
167,2025-12-01 00:10:00,10,190,10002,2.935,1.0,2.935,1.0,1.935,-0.1117,0.906025,1,1.935
168,2025-12-01 00:10:00,10,213,10003,2.935,1.0,2.935,0.0,2.935,0.1304,0.652577,1,2.935
169,2025-12-01 00:10:00,11,53,11000,1.939,1.0,1.939,0.0,1.939,-0.4634,0.509158,1,1.939
170,2025-12-01 00:10:00,11,234,-1,1.939,1.0,1.939,0.0,1.939,-0.0189,0.618016,0,0.0
171,2025-12-01 00:10:00,12,234,12000,1.951,1.0,1.951,1.0,0.951,-0.2868,0.957447,1,0.951
172,2025-12-01 00:10:00,13,299,13000,1.874,1.0,1.874,1.0,0.874,0.4553,0.970404,1,0.874
173,2025-12-01 00:10:00,13,1,-1,1.874,1.0,1.874,0.0,1.874,0.2842,0.686587,0,0.0
174,2025-12-01 00:10:00,13,24,-1,1.874,1.0,1.874,0.0,1.874,-0.762,0.434881,0,0.0
175,2025-12-01 00:10:00,13,327,-1,1.874,1.0,1.874,0.0,1.874,0.1777,0.66322,0,0.0
176,2025-12-01 00:10:00,14,107,14000,1.625,1.0,1.625,1.0,0.625,0.1988,0.974,1,0.625
177,2025-12-01 00:10:00,14,132,14001,1.625,1.0,1.625,1.0,0.625,0.3696,0.977994,1,0.625
178,2025-12-01 00:10:00,14,422,14002,1.625,1.0,1.625,1.0,0.625,-0.095,0.965429,1,0.625
179,2025-12-01 00:10:00,15,138,15000,1.775,1.0,1.775,1.0,0.775,-0.2565,0.967081,1,0.775
180,2025-12-01 00:10:00,15,257,15001,1.775,1.0,1.775,0.5,1.275,0.293,0.913829,1,1.275
181,2025-12-01 00:10:00,15,63,-1,1.775,1.0,1.775,0.0,1.775,0.8094,0.787409,0,0.0
182,2025-12-01 00:10:00,15,498,15002,1.775,1.0,1.775,1.0,0.775,-0.2245,0.968084,1,0.775
183,2025-12-01 00:10:00,15,111,15003,1.775,1.0,1.775,0.5,1.275,0.4679,0.926645,1,1.275
184,2025-12-01 00:10:00,16,398,16000,1.28,1.0,1.28,0.0,1.28,-0.1274,0.592085,1,1.28
185,2025-12-01 00:10:00,16,38,16001,1.28,1.0,1.28,1.0,0.28,-0.6271,0.986976,1,0.28
186,2025-12-01 00:10:00,16,439,16002,1.28,1.0,1.28,0.5,0.78,0.1006,0.944176,1,0.78
187,2025-12-01 00:10:00,16,441,16003,1.28,1.0,1.28,0.5,0.78,0.0083,0.939104,1,0.78
188,2025-12-01 00:10:00,16,85,16004,1.28,1.0,1.28,1.0,0.28,0.7622,0.996722,1,0.28
189,2025-12-01 00:10:00,18,387,-1,2.561,1.0,2.561,0.0,2.561,1.1185,0.834594,0,0.0
190,2025-12-01 00:10:00,18,159,18000,2.561,1.0,2.561,0.0,2.561,0.6382,0.757347,1,2.561
191,2025-12-01 00:10:00,18,161,18001,2.561,1.0,2.561,1.0,1.561,-0.56,0.882224,1,1.561
192,2025-12-01 00:10:00,19,353,-1,1.28,1.0,1.28,0.0,1.28,-0.6641,0.459054,0,0.0
193,2025-12-01 00:10:00,19,121,19000,1.28,1.0,1.28,1.0,0.28,0.1168,0.994356,1,0.28
194,2025-12-01 00:10:00,19,73,19001,1.28,1.0,1.28,0.0,1.28,0.0961,0.644761,1,1.28
195,2025-12-01 00:10:00,19,156,19002,1.28,1.0,1.28,1.0,0.28,0.0437,0.993931,1,0.28
196,2025-12-01 00:10:00,19,144,19003,1.28,1.0,1.28,0.5,0.78,-0.3286,0.920471,1,0.78
197,2025-12-01 00:15:00,0,419,0,1.878,1.0,1.878,1.0,0.878,0.4097,0.968296,1,0.878
198,2025-12-01 00:15:00,0,317,1,1.878,1.0,1.878,0.5,1.378,0.4868,0.903916,1,1.378
199,2025-12-01 00:15:00,0,275,2,1.878,1.0,1.878,0.0,1.878,0.1495,0.656904,1,1.878
200,2025-12-01 00:15:00,0,496,3,1.878,1.0,1.878,0.5,1.378,-1.0192,0.676023,1,1.378
201,2025-12-01 00:15:00,1,381,1000,1.188,1.0,1.188,0.5,0.688,0.0578,0.921761,1,0.688
202,2025-12-01 00:15:00,1,421,1001,1.188,1.0,1.188,1.0,0.188,0.3469,0.990663,1,0.188
203,2025-12-01 00:15:00,1,267,1002,1.188,1.0,1.188,0.5,0.688,-0.5849,0.861031,1,0.688
204,2025-12-01 00:15:00,1,203,1003,1.188,1.0,1.188,1.0,0.188,0.0541,0.987527,1,0.188
205,2025-12-01 00:15:00,1,306,1004,1.188,1.0,1.188,0.5,0.688,0.8977,0.964648,1,0.688
206,2025-12-01 00:15:00,1,365,1005,1.188,1.0,1.188,1.0,0.188,-0.1081,0.985363,1,0.188
207,2025-12-01 00:15:00,2,184,2000,2.572,1.0,2.572,1.0,1.572,-0.1863,0.929018,1,1.572
208,2025-12-01 00:15:00,2,334,-1,2.572,1.0,2.572,0.0,2.572,-0.6654,0.458734,0,0.0
209,2025-12-01 00:15:00,3,374,3000,1.742,1.0,1.742,0.0,1.742,0.4897,0.72902,1,1.742
210,2025-12-01 00:15:00,4,313,4000,2.646,1.0,2.646,1.0,1.646,-0.6293,0.868448,1,1.646
211,2025-12-01 00:15:00,4,443,4001,2.646,1.0,2.646,0.0,2.646,-0.4115,0.52212,1,2.646
212,2025-12-01 00:15:00,4,192,4002,2.646,1.0,2.646,1.0,1.646,0.5823,0.956847,1,1.646
213,2025-12-01 00:15:00,5,212,5000,2.109,1.0,2.109,1.0,1.109,1.0504,0.987254,1,1.109
214,2025-12-01 00:15:00,5,302,5001,2.109,1.0,2.109,1.0,1.109,-0.6965,0.931044,1,1.109
215,2025-12-01 00:15:00,6,88,6000,2.263,1.0,2.263,0.5,1.763,-0.4303,0.758405,1,1.763
216,2025-12-01 00:15:00,6,53,6001,2.263,1.0,2.263,0.0,2.263,0.351,0.700766,1,2.263
217,2025-12-01 00:15:00,6,122,6002,2.263,1.0,2.263,1.0,1.263,-0.0197,0.932694,1,1.263
218,2025-12-01 00:15:00,6,59,-1,2.263,1.0,2.263,1.0,1.263,-0.8922,0.852751,0,0.0
219,2025-12-01 00:15:00,7,465,7000,2.941,1.0,2.941,1.0,1.941,0.8322,0.948659,1,1.941
220,2025-12-01 00:15:00,7,360,7001,2.941,1.0,2.941,0.0,2.941,0.6103,0.75219,1,2.941
221,2025-12-01 00:15:00,8,305,8000,1.389,1.0,1.389,1.0,0.389,0.3309,0.990489,1,0.389
222,2025-12-01 00:15:00,8,12,-1,1.389,1.0,1.389,0.0,1.389,-0.1641,0.583187,0,0.0
223,2025-12-01 00:15:00,8,152,8001,1.389,1.0,1.389,1.0,0.389,0.048,0.987419,1,0.389
224,2025-12-01 00:15:00,8,175,8002,1.389,1.0,1.389,0.0,1.389,-0.0549,0.609467,1,1.389
225,2025-12-01 00:15:00,9,29,-1,1.309,1.0,1.309,0.0,1.309,-0.8398,0.415853,0,0.0
226,2025-12-01 00:15:00,10,8,-1,2.935,1.0,2.935,0.0,2.935,0.4551,0.72214,0,0.0
227,2025-12-01 00:15:00,10,364,-1,2.935,1.0,2.935,0.0,2.935,-0.9451,0.390533,0,0.0
228,2025-12-01 00:15:00,10,414,10000,2.935,1.0,2.935,0.5,2.435,0.0253,0.812168,1,2.435
229,2025-12-01 00:15:00,10,380,10001,2.935,1.0,2.935,0.5,2.435,0.2258,0.84087,1,2.435
230,2025-12-01 00:15:00,10,87,10002,2.935,1.0,2.935,1.0,1.935,-0.3588,0.882772,1,1.935
231,2025-12-01 00:15:00,10,83,10003,2.935,1.0,2.935,0.5,2.435,0.8731,0.909865,1,2.435
232,2025-12-01 00:15:00,11,372,11000,1.939,1.0,1.939,0.5,1.439,-0.1618,0.859609,1,1.439
233,2025-12-01 00:15:00,12,48,12000,1.951,1.0,1.951,1.0,0.951,0.24,0.974427,1,0.951
234,2025-12-01 00:15:00,12,314,12001,1.951,1.0,1.951,1.0,0.951,-0.3889,0.953088,1,0.951
235,2025-12-01 00:15:00,12,465,12002,1.951,1.0,1.951,1.0,0.951,0.2701,0.975166,1,0.951
236,2025-12-01 00:15:00,13,319,13000,1.874,1.0,1.874,0.5,1.374,-0.8694,0.710539,1,1.374
237,2025-12-01 00:15:00,13,465,13001,1.874,1.0,1.874,0.5,1.374,-0.3503,0.804876,1,1.374
